冒す|おかすTo brave, to risk
冒険|ぼうけん adventure
同朋|どうほうcompanions
説明|せつめいexplanation
発明|はつめい invention
証明|しょうめい proof,testemony
文明|ぶんめい civilization
明け方|あけがた dawn, daybreak
照明|しょうめい illumination, lighting
明らか|あきらか obvious,evident,clear
夜明け|よあけ dawn,daybreak
不明|ふめい unclear
失明|しつめい blindness
名言|めいげん declaration, statement
説明書|せつめいしょ printed/written instructions
合唱|がっしょう singing in chorus
商品|しょうひん commodity
品物|しなもの article,item,things
品質|ひんしつ quality (of a good or service)
食料品|しょくりょうひん groceries
下品|げひん vulgar, indecent, crude
世代|せだい generation
世話|せわ care
お世辞|おせじ flattery, compliment
来世|らいせ afterlife
一旦|いったん once
大胆|だいたん bold, daring
落胆|らくたん discouragement
胆力|たんりょく courage
旧～|きゅう～ old, former; ex-
旧式|きゅうしき old style
旧制|きゅうせい old system, old order
自然|しぜん nature
各自|かくじ each (person)
自立|じりつ independence
真っ白|まっしろ pure white, blank (e.g. paper, mind, etc)
告白|こくはく confession
升|ます measuring box, square on a grid,
昇格|しょうかく rising in status, promotion
寸前|すんぜん on the verge/brink of
肘|ひじ elbow
専攻|せんこう major
博士|はかせ expert; Doctor (as in Dr.~)
食卓|しょくたく dining table
卓越|たくえつ preeminence, excellence
円卓|えんたく B7R
卓|たく table/desk
早朝|そうちょう early morning
朝夕|あさゆう morning and evening, from dawn till dusk
